"outcome","respiratory","mean_beta","mean_adj_r2","mean_conditional_r2","significant_models","model1_beta","model1_p","model1_adjR2","model1_condR2","model2_beta","model2_p","model2_adjR2","model2_condR2","model3_beta","model3_p","model3_adjR2","model3_condR2","model4_beta","model4_p","model4_adjR2","model4_condR2"
"fss_sum","id_pre_max",-0.0764785444664935,0.0156520094048163,0.474310354045466,0,-0.0894975490227628,0.656963321234208,0.00757857026360398,0.469815656495224,-0.0735355950656901,0.713504355499431,0.13314044509122,0.478805051595707,-0.101662141009392,0.707931843294259,-0.0603551525914856,NA,-0.0412188927681293,0.883606382368221,-0.017755825144073,NA
"fss_sum","mip_post_max",-0.508139778249924,0.248849398490754,0.63758611461867,4,-0.528425724578048,0.000173187013197328,0.263996961768124,0.628543638382525,-0.551028783253762,0.000112937497618281,0.331149657433374,0.646628590854814,-0.486580786651584,0.0216543150392988,0.198598905035398,NA,-0.466523818516304,0.0297677057348868,0.201652069726118,NA
"fss_sum","mip_post_max_percentpredict_1",-0.562952042693545,0.308626979460205,0.617055004118267,4,-0.582818478054469,2.57297312875223e-05,0.340205970041116,0.606637716467001,-0.578742297823668,3.37602815612612e-05,0.383089937878706,0.627472291769534,-0.516657611049161,0.0138187381132803,0.230281841407778,NA,-0.573589783846882,0.010450461484354,0.280930168513219,NA
"fss_sum","mip_post_max_percentpredict_2",-0.578848193764858,0.320874826375922,0.66876375695312,4,-0.61404484659309,7.93422615339984e-06,0.370701457236479,0.658068134570989,-0.601374847400793,1.62853101360905e-05,0.392758683668397,0.679459379335251,-0.540163461455176,0.00945621802811802,0.256365393345799,NA,-0.559809619610372,0.013211543419821,0.263673771253011,NA
"fss_sum","mip_pre_max",-0.364720853598627,0.139084548583232,0.576475073556004,2,-0.487468243636986,0.000583060920641877,0.230461087116834,0.566959871979879,-0.517055346962593,0.000330112826566866,0.307133427724276,0.58599027513213,-0.215891193420929,0.334567157679619,-0.00106054223345153,NA,-0.238468630374001,0.288371127941236,0.0198042217252716,NA
"fss_sum","mip_pre_max_percentpredict_1",-0.43378859634852,0.193063303683962,0.567137844869587,2,-0.557237921756863,6.8762380497682e-05,0.314168313320542,0.556803054200967,-0.558081551592448,7.11216311511463e-05,0.368108625299402,0.577472635538207,-0.252245917626657,0.257420176323593,0.0168094031072799,NA,-0.367588994418111,0.146562473448487,0.0731668730086256,NA
"fss_sum","mip_pre_max_percentpredict_2",-0.44594300859697,0.202075548862419,0.599207166779453,2,-0.57973810793446,3.28090780157312e-05,0.337195865581187,0.587552144436051,-0.564815722336656,6.15889495068783e-05,0.36615927916642,0.610862189122856,-0.298566914659614,0.177117490016376,0.0435993126558294,NA,-0.340651289457152,0.169687051819845,0.0613477380462392,NA
"fss_sum","pif_post_max",-0.479287499849196,0.213179732184784,0.573443235997596,4,-0.477952463018301,0.00160415105277338,0.213678305927544,0.565708814111641,-0.54281804992189,0.000535009125735102,0.30690566548198,0.58117765788355,-0.434963844865544,0.043065570732994,0.148653223657228,NA,-0.461415641591048,0.0374862927577823,0.183481733672384,NA
"fss_sum","pif_pre_max",-0.3595502062021,0.124817317351652,0.512674277286971,2,-0.422989561443113,0.00522066085369884,0.171326682986439,0.504198054861333,-0.475051344226518,0.00220997021861993,0.261892078170448,0.521150499712609,-0.254622302783974,0.252812600081505,0.0180741429287642,NA,-0.285537616354794,0.200606547199452,0.0479763653209552,NA
"fss_sum","sindex_post_max",-0.497163423198118,0.228223760881279,0.570453258343752,4,-0.48066003026054,0.00156587078123699,0.216371737158563,0.563068579482914,-0.554093256673812,0.000461896958842975,0.313590427291557,0.577837937204589,-0.458658213976889,0.0317955606147589,0.170885725110893,NA,-0.495242191881232,0.0260543137824998,0.212047153964103,NA
