outcome,resp_type,n,r_pre,r_pre_ci_low,r_pre_ci_high,r_post,r_post_ci_low,r_post_ci_high,r_diff,r_diff_ci_low,r_diff_ci_high,r_xprepost,t_steiger,p_steiger_two,direction_H1,p_steiger_one
dsq_sum,fit,22,-0.00910390294652097,-0.429065475362199,0.414093953449765,-0.0611843216683082,-0.470651913285701,0.369967749193461,-0.0520804187217873,-0.311146963113943,0.200997579973962,0.918594724704467,0.567730394730183,0.576865946593591,post_stronger,0.288432973296796
dsq_sum,id,16,-0.0987474778634615,-0.566712431881685,0.417388892619978,-0.0648490899401837,-0.54309603321807,0.445166582434183,0.0338983879232778,-0.304511396769661,0.353835008862259,0.838235294117647,-0.216047698614902,0.832303630140495,pre_stronger_or_equal,0.583848184929752
dsq_sum,slopesmip,16,-0.237288715462945,-0.655849556888677,0.292864934573741,-0.224024128884271,-0.647792167818492,0.305620324083195,0.0132645865786739,-0.341904577126644,0.368350532697998,0.723529411764706,-0.0663744003257913,0.94808967323816,pre_stronger_or_equal,0.52595516338092
dsq_sum,sindex,22,-0.222222222222222,-0.5886770640519,0.219998006377826,-0.456405332515129,-0.736326614142238,-0.0430880814196538,-0.234183110292907,-0.639909267937061,0.160153078190055,0.660041065815283,1.39789827532286,0.178251688129073,post_stronger,0.0891258440645364
dsq_sum,pif,22,-0.212640708687221,-0.582066263722836,0.22954687211542,-0.405872031989657,-0.706572452866893,0.0189851333825272,-0.193231323302436,-0.557965360324302,0.192828625410768,0.668764411495528,1.13460818119764,0.270651634396737,post_stronger,0.135325817198368
dsq_sum,volume,22,0.0761365602702959,-0.35692925018646,0.48226440793618,0.0978445988369047,-0.337694456687736,0.498873463057286,0.0217080385666088,-0.265184183493058,0.294445173424625,0.823196194406536,-0.159891664184351,0.874653990895054,post_stronger,0.437326995447527
dsq_sum,mip_pp_1,22,-0.35191016661492,-0.673580605023747,0.0818408710666464,-0.512589406677038,-0.768184045050304,-0.116063726641309,-0.160679240062118,-0.482559736352824,0.146838721620626,0.680406549971767,1.01674503073094,0.322047895207722,post_stronger,0.161023947603861
dsq_sum,mip_pp_2,22,-0.345686674922374,-0.669691343881449,0.0888747746151334,-0.497313563431696,-0.759645850159977,-0.0957894420519005,-0.151626888509323,-0.4172380721625,0.126681986561844,0.743647656691135,1.06271592384812,0.301232130893528,post_stronger,0.150616065446764
dsq_sum,mip_pp_3,22,-0.125035605822986,-0.519270171255994,0.313077030967925,-0.368317553804362,-0.683749429164222,0.0630874827836597,-0.243281947981376,-0.570789002431464,0.0817796929294256,0.722190852625635,1.56719412117666,0.133573162104795,post_stronger,0.0667865810523974
dsq_sum,mip_pp_4,22,-0.125035605822986,-0.519270171255994,0.313077030967925,-0.368317553804362,-0.683749429164222,0.0630874827836597,-0.243281947981376,-0.570789002431464,0.0817796929294256,0.722190852625635,1.56719412117666,0.133573162104795,post_stronger,0.0667865810523974
